sample	experiment	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03302017-G03	03302017	G03	1	0.839906144	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G04	03302017	G04	1	2.023443072	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G05	03302017	G05	1	1.693100789	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G06	03302017	G06	1	1.965360723	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G07	03302017	G07	1	0.818003521	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G08	03302017	G08	1	1.325857768	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G09	03302017	G09	1	0.896321078	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G10	03302017	G10	1	1.673651417	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G11	03302017	G11	1	0.286500645	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-G12	03302017	G12	0	0.069450982	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H01	03302017	H01	1	1.794469287	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H02	03302017	H02	1	1.394010251	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H03	03302017	H03	1	1.625851011	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H04	03302017	H04	1	1.470753815	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H05	03302017	H05	1	2.087928769	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H06	03302017	H06	1	2.1456912	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H07	03302017	H07	1	0.874884358	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H08	03302017	H08	1	0.726712537	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H09	03302017	H09	0	0	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H10	03302017	H10	0	0.000609982	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H11	03302017	H11	1	2.106206606	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
03302017-H12	03302017	H12	1	2.063892472	TRUE	NA18502	NA18520	NA18852	NA19098	5000	25000	Not added	2
