sample	chip_id	chipmix	freemix	snps	reads	avg_dp	min_dp	snps_w_min
04142017-A06_S678	NA18520	0.09803	0.13084	311848	3570	0.01	1	1525
04142017-A07_S679	NA18862	0.31952	0.21659	311848	1488	0.00	1	1066
04142017-A08_S680	NA18507	0.66041	0.15164	311848	629	0.00	1	498
04142017-A09_S681	NA19203	0.57562	0.15453	311848	687	0.00	1	510
04142017-A10_S682	NA18507	0.13508	0.07327	311848	4026	0.01	1	1851
04142017-A11_S683	NA18520	0.13054	0.12506	311848	4178	0.01	1	1764
04142017-A12_S684	NA18507	0.42749	0.15296	311848	1252	0.00	1	920
04142017-B01_S685	NA18520	0.19389	0.13201	311848	1633	0.01	1	814
04142017-B02_S686	NA19122	0.56416	0.49992	311848	302	0.00	1	232
04142017-B03_S687	NA18507	0.47564	0.49994	311848	805	0.00	1	656
04142017-B04_S688	NA18507	0.29273	0.21664	311848	827	0.00	1	661
04142017-B05_S689	NA18520	0.72989	0.49992	311848	324	0.00	1	251
04142017-B06_S690	NA18862	0.26016	0.09871	311848	733	0.00	1	528
04142017-B07_S691	NA18862	0.67394	0.49992	311848	394	0.00	1	335
04142017-B08_S692	NA18507	0.10061	0.05011	311848	3809	0.01	1	1854
04142017-B09_S693	NA18862	0.73437	0.08410	311848	825	0.00	1	587
04142017-B10_S694	NA18507	0.11275	0.07649	311848	3938	0.01	1	1950
04142017-B11_S695	NA19203	0.09769	0.05374	311848	4926	0.02	1	2119
04142017-B12_S696	NA19203	0.36015	0.04846	311848	985	0.00	1	610
04142017-C01_S697	NA18520	0.12774	0.12165	311848	4908	0.02	1	2339
04142017-C02_S698	NA18507	0.09375	0.08730	311848	4459	0.01	1	1921
04142017-C03_S699	NA18520	0.16379	0.10908	311848	3729	0.01	1	1684
04142017-C04_S700	NA18507	0.09078	0.07734	311848	5088	0.02	1	2295
04142017-C05_S701	NA18520	0.47332	0.14121	311848	1371	0.00	1	998
04142017-C06_S702	NA18520	0.09806	0.09248	311848	6260	0.02	1	2694
04142017-C07_S703	NA18862	0.13160	0.10577	311848	3185	0.01	1	1456
04142017-C08_S704	NA18486	0.74804	0.49992	311848	736	0.00	1	517
04142017-C09_S705	NA18520	0.08141	0.11156	311848	4743	0.02	1	2069
04142017-C10_S706	NA18507	0.13316	0.07728	311848	4119	0.01	1	1745
04142017-C11_S707	NA18520	0.15085	0.16457	311848	3872	0.01	1	1684
04142017-C12_S708	NA18507	0.46991	0.25946	311848	1233	0.00	1	770
04142017-D01_S709	NA18520	0.69398	0.06785	311848	466	0.00	1	367
04142017-D02_S710	NA18507	0.28262	0.12885	311848	4422	0.01	1	2064
04142017-D03_S711	NA19144	0.95236	0.04907	311848	3996	0.01	1	2286
04142017-D04_S712	NA18862	0.41024	0.28324	311848	729	0.00	1	534
04142017-D05_S713	NA18520	0.43547	0.06476	311848	1132	0.00	1	802
04142017-D06_S714	NA18520	0.11972	0.05010	311848	5747	0.02	1	2393
04142017-D07_S715	NA18507	0.10478	0.09853	311848	3732	0.01	1	1679
04142017-D08_S716	NA18520	0.14437	0.11823	311848	4971	0.02	1	2246
04142017-D09_S717	NA19203	0.54137	0.23973	311848	5612	0.02	1	2434
04142017-D10_S718	NA18520	0.15399	0.09184	311848	2964	0.01	1	1356
04142017-D11_S719	NA18862	0.30536	0.19020	311848	4178	0.01	1	1694
04142017-D12_S720	NA19203	0.09675	0.03760	311848	4619	0.01	1	2066
04142017-E01_S721	NA18520	0.09560	0.09358	311848	5722	0.02	1	2531
04142017-E02_S722	NA18520	0.10702	0.04557	311848	5473	0.02	1	2352
04142017-E03_S723	NA19203	0.10099	0.05605	311848	4021	0.01	1	1877
04142017-E04_S724	NA19192	0.95106	0.06540	311848	4368	0.01	1	2021
04142017-E05_S725	NA18862	0.53930	0.24003	311848	788	0.00	1	533
04142017-E06_S726	NA18498	0.14364	0.10132	311848	3725	0.01	1	1694
04142017-E07_S727	NA18862	0.14580	0.07736	311848	4926	0.02	1	2286
04142017-E08_S728	NA18507	0.23368	0.13195	311848	3076	0.01	1	1609
04142017-E09_S729	NA18498	0.10596	0.07533	311848	4024	0.01	1	1724
04142017-E10_S730	NA19127	0.68791	0.49992	311848	220	0.00	1	185
04142017-E11_S731	NA18517	0.63827	0.00000	311848	229	0.00	1	186
04142017-E12_S732	NA18520	0.07880	0.07565	311848	5102	0.02	1	2172
04142017-F01_S733	NA18520	0.58108	0.49992	311848	517	0.00	1	387
04142017-F02_S734	NA18520	0.19685	0.13022	311848	4888	0.02	1	2782
04142017-F03_S735	NA18520	0.21782	0.06000	311848	3920	0.01	1	1861
04142017-F04_S736	NA19203	0.41163	0.14509	311848	748	0.00	1	565
04142017-F05_S737	NA18507	0.10805	0.06555	311848	4966	0.02	1	2447
04142017-F06_S738	NA18862	0.10952	0.05005	311848	3745	0.01	1	1818
04142017-F07_S739	NA19203	0.69911	0.49992	311848	991	0.00	1	653
04142017-F08_S740	NA18520	0.15955	0.20960	311848	2333	0.01	1	1644
04142017-F09_S741	NA18520	0.07615	0.05900	311848	5903	0.02	1	2535
04142017-F10_S742	NA18862	0.16593	0.10965	311848	3864	0.01	1	1723
04142017-F11_S743	NA18498	0.14031	0.12828	311848	4111	0.01	1	1762
04142017-F12_S744	NA18520	0.56870	0.38355	311848	917	0.00	1	608
04142017-G01_S745	NA19203	0.72490	0.20742	311848	1122	0.00	1	728
04142017-G02_S746	NA19203	0.70116	0.17530	311848	2542	0.01	1	1808
04142017-G03_S747	NA18507	0.54469	0.20146	311848	632	0.00	1	475
04142017-G04_S748	NA18520	0.17645	0.14257	311848	4833	0.02	1	2221
04142017-G05_S749	NA19204	0.77039	0.00000	311848	269	0.00	1	212
04142017-G06_S750	NA18523	0.95561	0.05304	311848	4815	0.02	1	2171
04142017-G07_S751	NA18862	0.14447	0.06183	311848	4928	0.02	1	2185
04142017-G08_S752	NA18507	0.63431	0.15504	311848	1698	0.01	1	1151
04142017-G09_S753	NA19203	0.28427	0.09485	311848	1056	0.00	1	754
04142017-G10_S754	NA18520	0.14543	0.15791	311848	4951	0.02	1	2138
04142017-G11_S755	NA18498	0.14112	0.09693	311848	3872	0.01	1	1747
04142017-G12_S756	NA18498	0.44725	0.28845	311848	835	0.00	1	568
04142017-H01_S757	NA18874	0.82555	0.00478	311848	923	0.00	1	664
04142017-H02_S758	NA19144	0.70519	0.38926	311848	271	0.00	1	219
04142017-H03_S759	NA18520	0.31339	0.24966	311848	769	0.00	1	570
04142017-H04_S760	NA18498	0.10585	0.09377	311848	4912	0.02	1	2215
04142017-H05_S761	NA18520	0.04477	0.06374	311848	5014	0.02	1	2214
04142017-H06_S762	NA18520	0.13042	0.09725	311848	4910	0.02	1	2191
04142017-H07_S763	NA18507	0.60634	0.27288	311848	837	0.00	1	601
04142017-H08_S764	NA19203	0.63209	0.15994	311848	895	0.00	1	663
04142017-H09_S765	NA18862	0.53812	0.16268	311848	1085	0.00	1	828
