experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	ERCC	index
11032017	B06	1	4.520263929	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B07	1	2.518061358	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B08	1	4.218356292	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B09	1	1.767304974	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B10	1	1.229444634	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B11	1	4.119810838	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	B12	1	2.843487579	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C01	2	4.308351079	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C02	1	3.644990769	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C03	1	0.673121616	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C04	1	0.598396104	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C05	1	1.052230517	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C06	1	2.281282424	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C07	2	4.030226834	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C08	1	2.408229347	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C09	1	2.9391542	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C10	1	2.129921856	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C11	2	2.522597404	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	C12	0	0.272374318	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D01	1	1.082342798	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D02	2	4.424288248	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D03	1	3.347104246	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D04	1	1.339365155	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D05	1	4.334007475	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D06	1	0.440183283	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D07	1	2.811468692	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D08	1	3.581280811	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D09	1	2.488794457	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D10	1	3.279236179	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D11	1	3.844022052	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	D12	1	3.372419276	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E01	1	3.124992169	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E02	1	3.234282098	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E03	1	3.19073631	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E04	1	1.388965759	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E05	1	1.09505764	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E06	1	0.930674913	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E07	1	4.918733346	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E08	1	4.196476754	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E09	1	2.823070096	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E10	1	2.645327201	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E11	1	1.908594966	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	E12	1	0.745656177	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F01	1	3.303494398	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F02	1	2.654210764	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F03	1	3.666403285	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F04	1	2.719353123	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F05	1	4.476470395	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F06	1	5.112209553	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F07	1	4.643587108	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F08	1	3.942211611	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F09	1	1.302768062	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F10	1	2.758846525	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F11	1	2.216859737	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	F12	1	3.208784758	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G01	1	3.814003997	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
11032017	G02	1	2.843835429	1	NA18507	NA18516	NA18855	NA19207	1:50000	4
