sample	experiment	well	id	raw	umi	mapped	unmapped	reads_ce	reads_dm	reads_ercc	reads_hs	molecules	mol_ce	mol_dm	mol_ercc	mol_hs
04072017-G02_S554	04072017	G02	S554	989276	435162	304895	130267	505	19776	12451	272163	36446	263	1765	722	33696
03302017-H04_S856	03302017	H04	S856	961325	591998	454891	137107	2388	8132	36	444335	34769	361	718	35	33655
04202017-D02_S1094	04202017	D02	S1094	841761	575135	460146	114989	2416	28642	5292	423796	44133	385	2296	305	41147
03312017-B05_S977	03312017	B05	S977	1016717	603580	477488	126092	2088	1810	76	473514	57596	480	468	75	56573
03302017-F06_S834	03302017	F06	S834	881782	565865	447075	118790	8128	7957	64	430926	37499	504	816	61	36118
03162017-D02_S230	03162017	D02	S230	242175	142422	98520	43902	143	8152	0	90225	12632	88	823	0	11721
03302017-A05_S773	03302017	A05	S773	226586	148305	111263	37042	1640	9599	70	99954	8593	198	594	69	7732
04072017-A06_S486	04072017	A06	S486	1273932	708400	551302	157098	317	16962	11390	522633	54667	262	1556	638	52211
03312017-H07_S1051	03312017	H07	S1051	335178	164409	118108	46301	3595	2299	65	112149	15928	411	350	61	15106
03162017-G03_S267	03162017	G03	S267	203388	93003	51351	41652	88	3097	2	48164	11023	74	847	2	10100
03302017-H10_S862	03302017	H10	S862	37813	22894	19151	3743	1679	9008	29	8435	2268	172	540	29	1527
04132017-F05_S929	04132017	F05	S929	678329	422205	342071	80134	457	41325	55362	244927	28844	143	2891	2657	23153
03302017-H08_S860	03302017	H08	S860	391064	252804	192067	60737	1579	7515	28	182945	15437	221	545	28	14643
03232017-C02_S602	03232017	C02	S602	57820	26565	14671	11894	2347	10005	21	2298	2832	269	1070	20	1473
03232017-E05_S629	03232017	E05	S629	854453	499060	372409	126651	2370	10932	38	359069	48131	493	1306	34	46298
03302017-H03_S855	03302017	H03	S855	1357130	859661	684913	174748	2318	14938	134	667523	66067	573	1823	127	63544
04142017-G01_S745	04142017	G01	S745	481245	319815	265419	54396	3219	4900	69323	187977	22703	388	534	2448	19333
04142017-B08_S692	04142017	B08	S692	644111	423490	357710	65780	3183	2232	34682	317613	41037	483	428	2234	37892
04132017-D10_S910	04132017	D10	S910	866298	543590	424971	118619	6303	32372	44869	341427	38146	403	2686	2493	32564
03302017-F02_S830	03302017	F02	S830	287515	185310	135267	50043	2483	9722	241	122821	11742	245	756	210	10531
03312017-H03_S1047	03312017	H03	S1047	1063356	554662	419632	135030	3814	2598	76	413144	43196	552	511	73	42060
03232017-D07_S619	03232017	D07	S619	753584	419163	338881	80282	2470	4968	39	331404	66559	499	1209	39	64812
04142017-D05_S713	04142017	D05	S713	542687	374497	299674	74823	5864	4772	76723	212315	20928	426	376	2521	17605
04202017-A01_S1057	04202017	A01	S1057	434400	294717	242272	52445	282	16410	2684	222896	47300	162	2659	359	44120
04132017-C09_S897	04132017	C09	S897	253480	168876	141984	26892	1638	32385	44989	62972	11943	116	2423	2375	7029
04142017-C12_S708	04142017	C12	S708	282406	193411	156903	36508	3601	2896	42083	108323	16787	363	367	2278	13779
04132017-G06_S942	04132017	G06	S942	715955	453535	367497	86038	419	24371	35224	307483	40627	180	2655	2466	35326
03172017-E08_S440	03172017	E08	S440	1123614	752117	589939	162178	500	39386	114	549939	58267	292	3699	109	54167
04142017-F09_S741	04142017	F09	S741	946991	629045	512948	116097	3629	2361	32756	474202	65609	580	555	2342	62132
04072017-A10_S490	04072017	A10	S490	407546	174942	103775	71167	139	21021	13911	68704	11225	59	1344	680	9142
03232017-B06_S594	03232017	B06	S594	729604	380878	298350	82528	1494	7657	24	289175	48517	454	1289	23	46751
03312017-A08_S968	03312017	A08	S968	765690	442840	359617	83223	1629	1341	80	356567	46697	406	428	80	45783
03232017-B03_S591	03232017	B03	S591	1001017	552636	449002	103634	2205	8521	62	438214	64510	545	1395	61	62509
03172017-C07_S415	03172017	C07	S415	644587	420302	340976	79326	381	60101	225	280269	32841	181	4250	184	28226
03312017-A11_S971	03312017	A11	S971	665215	347447	267616	79831	2560	2709	53	262294	29997	417	394	53	29133
03162017-D09_S237	03162017	D09	S237	361265	228346	162290	66056	274	6832	0	155184	23480	147	1011	0	22322
03312017-F11_S1031	03312017	F11	S1031	1054076	537636	427298	110338	3054	2564	82	421598	42598	501	528	79	41490
04072017-C05_S509	04072017	C05	S509	953856	535002	336374	198628	287	26276	16432	293379	30886	188	1539	637	28522
04052017-E07_S343	04052017	E07	S343	824376	517588	412492	105096	306	16888	0	395298	47214	151	1990	0	45073
04072017-C03_S507	04072017	C03	S507	1016502	522044	390883	131161	453	21057	14963	354410	35104	219	1446	658	32781
04132017-H09_S957	04132017	H09	S957	792281	510761	406752	104009	2430	41248	56310	306764	31818	266	2765	2587	26200
03302017-B01_S781	03302017	B01	S781	99289	62107	42865	19242	2100	7289	21	33455	4168	185	506	21	3456
04072017-F10_S550	04072017	F10	S550	1416637	739778	543784	195994	678	22336	16864	503906	49120	439	1581	692	46408
03312017-D02_S998	03312017	D02	S998	1637241	943056	732716	210340	4649	2516	76	725475	82291	695	712	72	80812
03302017-E02_S818	03302017	E02	S818	1116848	708714	546261	162453	6979	6700	81	532501	49532	558	807	75	48092
03312017-C04_S988	03312017	C04	S988	949441	566858	462204	104654	1507	1578	60	459059	62764	468	467	56	61773
04142017-D02_S710	04142017	D02	S710	926059	632145	515804	116341	5363	2721	38514	469206	56695	602	563	2250	53280
04072017-H10_S574	04072017	H10	S574	1070411	538151	413266	124885	359	11124	9472	392311	55265	246	1434	736	52849
04072017-F06_S546	04072017	F06	S546	1423564	715591	581952	133639	455	55998	14545	510954	55356	284	3736	731	50605
04072017-A05_S485	04072017	A05	S485	1222663	644892	517374	127518	454	13695	11694	491531	53132	318	1474	672	50668
03302017-E04_S820	03302017	E04	S820	820966	549421	439621	109800	1567	6194	73	431787	38722	365	738	69	37550
03172017-E11_S443	03172017	E11	S443	905698	598665	459212	139453	422	37555	99	421136	48741	217	3699	92	44733
04142017-B12_S696	04142017	B12	S696	267416	178067	146189	31878	3826	3383	51962	87018	14490	344	372	2492	11282
04072017-C06_S510	04072017	C06	S510	1735156	950226	724293	225933	534	17377	13279	693103	68938	302	1610	669	66357
03172017-A09_S393	03172017	A09	S393	1024131	680284	549094	131190	583	54256	82	494173	47411	235	4302	79	42795
03232017-D02_S614	03232017	D02	S614	719989	400278	308054	92224	839	3931	22	303262	73665	334	1090	18	72223
03302017-E05_S821	03302017	E05	S821	897035	577492	453792	123700	2632	10622	58	440480	32079	378	786	57	30858
04142017-G10_S754	04142017	G10	S754	928437	625321	534639	90682	3209	3005	44855	483570	53069	548	556	2292	49673
03312017-E05_S1013	03312017	E05	S1013	527127	278557	183856	94701	4365	3068	45	176378	19919	423	323	45	19128
