sample	experiment	well	id	raw	umi	mapped	unmapped	reads_ce	reads_dm	reads_ercc	reads_hs	molecules	mol_ce	mol_dm	mol_ercc	mol_hs
04202017-A02_S1058	04202017	A02	S1058	398583	269140	218906	50234	293	10140	1969	206504	41621	173	1967	264	39217
03162017-E07_S247	03162017	E07	S247	53145	19677	10157	9520	26	578	0	9553	4109	21	245	0	3843
04052017-H01_S373	04052017	H01	S373	781391	440532	346457	94075	1136	7555	0	337766	63632	234	1581	0	61817
04202017-D06_S1098	04202017	D06	S1098	275266	190865	138485	52380	249	28650	4507	105079	13783	96	2087	272	11328
03312017-G09_S1041	03312017	G09	S1041	682101	365296	273887	91409	3153	2622	73	268039	28344	461	411	72	27400
04202017-B05_S1073	04202017	B05	S1073	336556	213275	167786	45489	710	2065	357	164654	74730	208	1121	175	73226
03302017-F08_S836	03302017	F08	S836	848565	558171	452154	106017	1431	5897	53	444773	43047	343	717	53	41934
04202017-E05_S1109	04202017	E05	S1109	294414	204511	164519	39992	931	17188	2981	143419	22778	126	2017	280	20355
04142017-H05_S761	04142017	H05	S761	458128	232202	192278	39924	1158	1008	11083	179029	53284	376	422	1835	50651
03312017-A04_S964	03312017	A04	S964	297261	136215	94780	41435	3448	2739	56	88537	10992	370	342	54	10226
04072017-A11_S491	04072017	A11	S491	1137946	612258	484409	127849	315	18148	12740	453206	49772	233	1665	681	47193
03162017-G06_S270	03162017	G06	S270	967958	654945	492762	162183	469	30632	0	461661	42012	288	2424	0	39300
04202017-C03_S1083	04202017	C03	S1083	561740	390275	317269	73006	299	17097	3141	296732	41629	172	2131	274	39052
03232017-G03_S651	03232017	G03	S651	746238	394058	307379	86679	2262	5867	44	299206	56775	465	1178	42	55090
04142017-B07_S691	04142017	B07	S691	141158	79726	63431	16295	1363	1930	23027	37111	9263	252	274	2096	6641
04072017-C04_S508	04072017	C04	S508	1057233	544535	426298	118237	548	17464	12555	395731	40622	240	1436	648	38298
04052017-C04_S316	04052017	C04	S316	685721	439985	352041	87944	162	14110	0	337769	39948	128	1619	0	38201
04052017-H06_S378	04052017	H06	S378	1116003	710503	535823	174680	4427	23894	0	507502	47011	310	1878	0	44823
03312017-F06_S1026	03312017	F06	S1026	940499	491462	402133	89329	3921	22400	85	375727	38834	520	1997	82	36235
04142017-D12_S720	04142017	D12	S720	509200	349209	294412	54797	2355	1445	23375	267237	47833	444	425	2253	44711
03302017-G02_S842	03302017	G02	S842	576718	390946	296872	94074	612	3026	60	293174	41920	254	564	56	41046
03162017-C04_S220	03162017	C04	S220	1228869	865836	679520	186316	5782	49287	0	624451	44359	395	2779	0	41185
04132017-E11_S923	04132017	E11	S923	489999	309314	254649	54665	1943	22344	31651	198711	29319	202	2466	2369	24282
04052017-H05_S377	04052017	H05	S377	346327	181627	147460	34167	995	18363	0	128102	28562	158	3269	0	25135
03162017-A03_S195	03162017	A03	S195	345100	243129	186639	56490	152	53098	1	133388	13005	110	2532	1	10362
04132017-A04_S868	04132017	A04	S868	325639	218465	182593	35872	328	38396	46631	97238	15630	86	2542	2356	10646
04132017-G01_S937	04132017	G01	S937	821696	507312	397760	109552	4391	37577	54480	301312	32250	300	2547	2447	26956
03232017-G01_S649	03232017	G01	S649	852579	484037	380427	103610	4031	10119	32	366245	45709	542	1252	30	43885
04072017-C10_S514	04072017	C10	S514	953881	510731	377175	133556	298	24575	18305	333997	31414	185	1465	678	29086
03232017-F10_S646	03232017	F10	S646	942612	550293	421901	128392	2045	10632	32	409192	50589	439	1294	30	48826
04072017-B09_S501	04072017	B09	S501	1431943	747471	592545	154926	426	12763	10280	569076	63953	313	1608	684	61348
04202017-E03_S1107	04202017	E03	S1107	240926	164752	132582	32170	190	12144	1936	118312	23892	93	2007	239	21553
04132017-E04_S916	04132017	E04	S916	470939	302509	251840	50669	2027	22832	30310	196671	29841	198	2551	2393	24699
04132017-A11_S875	04132017	A11	S875	831038	499793	412040	87753	478	32261	46631	332670	37344	224	2603	2408	32109
04072017-F02_S542	04072017	F02	S542	1260298	631793	480295	151498	515	21391	14117	444272	46662	293	1666	692	44011
03172017-F10_S454	03172017	F10	S454	1137356	777696	605762	171934	598	53315	67	551782	48145	270	3747	64	44064
03312017-A06_S966	03312017	A06	S966	185516	75553	45895	29658	3638	2242	50	39965	6780	368	246	50	6116
03162017-H12_S288	03162017	H12	S288	115661	64630	51937	12693	350	38375	0	13212	4261	45	2208	0	2008
04132017-G02_S938	04132017	G02	S938	1200970	703338	569020	134318	640	27099	39565	501716	60972	345	2871	2468	55288
04072017-C08_S512	04072017	C08	S512	83688	39279	27405	11874	78	15568	7371	4388	4659	24	1359	619	2657
03162017-H07_S283	03162017	H07	S283	84955	35890	20296	15594	52	1105	0	19139	9058	45	506	0	8507
03172017-E01_S433	03172017	E01	S433	1085993	727455	567117	160338	474	38363	69	528211	57277	313	3837	65	53062
04072017-F04_S544	04072017	F04	S544	1472633	805286	602307	202979	567	18548	14264	568928	58599	299	1695	716	55889
04202017-D12_S1104	04202017	D12	S1104	672786	472339	373391	98948	421	25661	4594	342715	38349	202	2269	295	35583
03312017-E09_S1017	03312017	E09	S1017	1382727	779594	600091	179503	2521	2402	48	595120	64354	557	515	45	63237
04132017-C06_S894	04132017	C06	S894	773360	481942	396856	85086	1778	38826	59092	297160	32110	208	2683	2531	26688
03302017-H09_S861	03302017	H09	S861	63562	32922	25643	7279	1663	6303	31	17646	3728	152	537	31	3008
03302017-D04_S808	03302017	D04	S808	442642	304307	245556	58751	632	2940	45	241939	36753	257	563	43	35890
03302017-C02_S794	03302017	C02	S794	943682	636928	514383	122545	4203	6174	67	503939	45695	505	778	65	44347
04132017-E06_S918	04132017	E06	S918	474272	305249	252226	53023	2580	23746	32857	193043	28353	223	2558	2355	23217
04202017-B04_S1072	04202017	B04	S1072	210793	146468	120243	26225	128	10805	2149	107161	22094	73	1785	275	19961
04072017-A01_S481	04072017	A01	S481	556921	274339	190092	84247	370	19408	13043	157271	21886	203	1396	670	19617
04132017-E08_S920	04132017	E08	S920	535599	332957	265108	67849	379	11965	19943	232821	49039	185	2223	2120	44511
04142017-E08_S728	04142017	E08	S728	567545	391580	314688	76892	3483	1653	31412	278140	42977	495	405	2168	39909
04132017-H04_S952	04132017	H04	S952	141704	80754	72374	8380	226	31134	34336	6678	8607	63	2974	2615	2955
03312017-E12_S1020	03312017	E12	S1020	906566	544233	429173	115060	1800	2065	33	425275	57238	474	507	32	56225
03312017-B08_S980	03312017	B08	S980	773701	479754	394082	85672	2231	2439	82	389330	38575	432	569	75	37499
04132017-C04_S892	04132017	C04	S892	287577	184575	155781	28794	111	41533	37950	76187	14780	50	3693	2365	8672
03162017-D05_S233	03162017	D05	S233	320329	190562	151134	39428	675	48291	0	102168	11681	119	2453	0	9109
03172017-B10_S406	03172017	B10	S406	1032074	693508	535607	157901	501	46021	83	489002	48491	249	3709	80	44453
04142017-H10_S766	04142017	H10	S766	1224457	787660	659177	128483	6422	5059	77478	570218	46974	683	653	2507	43131
04052017-A10_S298	04052017	A10	S298	657371	420994	339425	81569	328	12040	0	327057	42069	143	1582	0	40344
04142017-G12_S756	04142017	G12	S756	332205	193576	151042	42534	4074	3453	51923	91592	14470	393	352	2425	11300
03232017-C04_S604	03232017	C04	S604	775547	414921	337738	77183	2165	5466	30	330077	62566	505	1206	29	60826
04052017-D06_S330	04052017	D06	S330	603928	366962	285347	81615	155	6585	1	278606	53681	112	1434	1	52134
03232017-H05_S665	03232017	H05	S665	762355	433200	321393	111807	1853	9987	80	309473	44325	451	1312	77	42485
03232017-B07_S595	03232017	B07	S595	58171	24293	15622	8671	1912	8443	17	5250	3540	273	1060	16	2191
04202017-D03_S1095	04202017	D03	S1095	586316	408644	331954	76690	1927	18678	3063	308286	37972	276	1970	240	35486
04132017-H10_S958	04132017	H10	S958	133518	82506	75481	7025	111	32689	36212	6469	7750	41	2832	2584	2293
04202017-H12_S1152	04202017	H12	S1152	110505	46318	34346	11972	149	21292	2648	10257	4924	61	2010	255	2598
03232017-A08_S584	03232017	A08	S584	620379	343900	274763	69137	1215	5665	43	267840	49290	382	1098	40	47770
03172017-E12_S444	03172017	E12	S444	605129	402019	304118	97901	479	62475	51	241113	25809	170	3895	49	21695
03312017-D10_S1006	03312017	D10	S1006	1365275	759278	604204	155074	4341	3058	57	596748	59457	682	562	55	58158
03162017-H03_S279	03162017	H03	S279	409282	248661	174936	73725	426	10179	1	164330	24694	170	1333	1	23190
03162017-E05_S245	03162017	E05	S245	756030	509297	392284	117013	687	39355	0	352242	29398	195	2405	0	26798
03312017-G08_S1040	03312017	G08	S1040	192555	81268	55312	25956	3248	1900	61	50103	9052	357	280	57	8358
03312017-F02_S1022	03312017	F02	S1022	1239641	709532	571353	138179	2059	2181	117	566996	70593	603	656	109	69225
04052017-F06_S354	04052017	F06	S354	112937	65930	50270	15660	54	37300	0	12916	4341	24	1693	0	2624
04052017-H03_S375	04052017	H03	S375	853712	499634	412137	87497	261	20483	1	391392	49940	183	2491	1	47265
03302017-A09_S777	03302017	A09	S777	251071	165819	136253	29566	510	2220	42	133481	24737	183	503	42	24009
04202017-E04_S1108	04202017	E04	S1108	227185	154844	125629	29215	158	15498	2872	107101	18083	97	1971	288	15727
03302017-B12_S792	03302017	B12	S792	318734	213649	176283	37366	795	3032	48	172408	25030	217	508	48	24257
03172017-B01_S397	03172017	B01	S397	1183684	729311	578592	150719	434	26663	120	551375	78203	301	3860	111	73931
04052017-C01_S313	04052017	C01	S313	741281	445266	330995	114271	184	6811	0	324000	57463	120	1387	0	55956
04072017-D01_S517	04072017	D01	S517	1926703	1036148	786617	249531	956	14429	12798	758434	86343	550	1801	718	83274
03232017-F01_S637	03232017	F01	S637	38240	17148	12160	4988	1516	8349	6	2289	3110	230	1030	6	1844
04132017-F01_S925	04132017	F01	S925	770069	477175	381184	95991	2773	38959	53052	286400	33090	286	2769	2554	27481
03172017-G01_S457	03172017	G01	S457	303984	192598	159408	33190	331	114660	67	44350	10937	77	4282	63	6515
03232017-F08_S644	03232017	F08	S644	923614	498997	396897	102100	1019	6005	57	389816	67738	426	1182	54	66076
04052017-C06_S318	04052017	C06	S318	646773	408630	330791	77839	222	11307	0	319262	44025	129	1685	0	42211
04052017-G05_S365	04052017	G05	S365	762040	485271	387588	97683	2550	13694	1	371343	41301	265	1542	1	39493
03302017-H07_S859	03302017	H07	S859	505451	320952	227249	93703	2589	10517	49	214094	17542	283	637	49	16573
04142017-H11_S767	04142017	H11	S767	1314631	825323	672174	153149	6736	5858	79392	580188	49095	673	705	2620	45097
03172017-C08_S416	03172017	C08	S416	1204809	801382	607823	193559	626	60205	67	546925	47673	268	3851	64	43490
04072017-H07_S571	04072017	H07	S571	890613	430683	299593	131090	508	15610	11239	272236	42297	305	1726	692	39574
03172017-G12_S468	03172017	G12	S468	911444	597228	470629	126599	454	37385	63	432727	50203	230	3925	58	45990
04072017-C07_S511	04072017	C07	S511	1295206	705067	559740	145327	542	10839	9151	539208	71269	353	1730	667	68519
04132017-F09_S933	04132017	F09	S933	980985	603395	490686	112709	2803	25681	40312	421890	52532	341	2798	2561	46832
04052017-D09_S333	04052017	D09	S333	482547	275585	225385	50200	167	4332	0	220886	59756	127	1425	0	58204
03162017-B06_S210	03162017	B06	S210	122184	74818	60459	14359	177	40601	0	19681	5711	54	2684	0	2973
03312017-E04_S1012	03312017	E04	S1012	1217596	699666	559577	140089	5934	2745	56	550842	54788	699	565	54	53470
04052017-H11_S383	04052017	H11	S383	889421	515831	408097	107734	309	9013	1	398774	57194	179	1520	1	55494
04202017-E09_S1113	04202017	E09	S1113	299374	212984	169930	43054	863	10070	1721	157276	29297	141	1799	223	27134
04052017-D08_S332	04052017	D08	S332	482580	300321	236739	63582	169	9588	1	226981	36792	113	1562	1	35116
04142017-C07_S703	04142017	C07	S703	596048	407854	342227	65627	1581	1959	34245	304442	38417	424	402	2224	35367
03312017-E03_S1011	03312017	E03	S1011	1019937	589014	472720	116294	7161	2126	43	463390	49239	940	465	42	47792
03312017-B11_S983	03312017	B11	S983	674100	417138	346301	70837	3428	1683	64	341126	43042	484	447	62	42049
03172017-D12_S432	03172017	D12	S432	1155334	731041	573446	157595	485	16375	98	556488	94538	315	3230	94	90899
03172017-G08_S464	03172017	G08	S464	492440	324826	239977	84849	185	64869	21	174902	18696	111	3743	20	14822
04202017-G06_S1134	04202017	G06	S1134	329765	227214	185591	41623	239	18939	3041	163372	24202	129	2138	268	21667
03162017-D07_S235	03162017	D07	S235	201887	109958	64314	45644	102	6437	1	57774	11892	78	941	1	10872
03162017-F05_S257	03162017	F05	S257	982557	678890	525765	153125	555	25893	0	499317	46632	249	2351	0	44032
03162017-A07_S199	03162017	A07	S199	850740	611583	479158	132425	373	37442	0	441343	34400	213	2500	0	31687
03312017-C11_S995	03312017	C11	S995	1399287	776320	616671	159649	2499	2049	81	612042	72436	568	620	73	71175
04132017-C05_S893	04132017	C05	S893	950915	587521	470857	116664	3406	30262	44193	392996	46546	352	2853	2533	40808
03162017-F03_S255	03162017	F03	S255	121627	60082	35218	24864	83	2500	0	32635	7639	56	486	0	7097
03172017-F09_S453	03172017	F09	S453	1088125	731864	561616	170248	566	44302	66	516682	50467	248	3658	60	46501
03162017-B01_S205	03162017	B01	S205	1036618	722200	556007	166193	526	40734	2	514745	40474	275	2607	1	37591
03172017-C12_S420	03172017	C12	S420	640021	420223	309037	111186	479	77437	50	231071	22048	185	3670	46	18147
03162017-D08_S236	03162017	D08	S236	113832	58632	39227	19405	52	2722	0	36453	9764	43	598	0	9123
04072017-G01_S553	04072017	G01	S553	457539	207094	128870	78224	317	21334	12096	95123	15862	114	1597	673	13478
04072017-H11_S575	04072017	H11	S575	456833	181986	118478	63508	155	15797	10108	92418	15739	106	1383	719	13531
03172017-A06_S390	03172017	A06	S390	1123528	739788	585805	153983	454	36931	74	548346	62810	257	3752	71	58730
04202017-G05_S1133	04202017	G05	S1133	592525	411712	325973	85739	1010	15056	3177	306730	43829	208	2095	280	41246
04072017-A02_S482	04072017	A02	S482	1235277	640027	507291	132736	431	15523	13737	477600	50554	287	1622	720	47925
04142017-G08_S752	04142017	G08	S752	747886	511022	411114	99908	6209	4247	71527	329131	31772	478	508	2476	28310
04052017-E06_S342	04052017	E06	S342	107445	60875	44995	15880	71	34113	0	10811	4663	44	1699	0	2920
03232017-B01_S589	03232017	B01	S589	701448	380543	308244	72299	3183	9819	38	295204	39245	461	1245	37	37502
04052017-C10_S322	04052017	C10	S322	532446	330194	259846	70348	1550	11211	2	247083	39737	240	1810	2	37685
03162017-G07_S271	03162017	G07	S271	134004	66785	41787	24998	59	2764	2	38962	9887	45	580	2	9260
03232017-G08_S656	03232017	G08	S656	670481	363259	292859	70400	1195	7424	59	284181	47619	341	1193	59	46026
04132017-F04_S928	04132017	F04	S928	695041	449818	360018	89800	1857	30109	43347	284705	36030	209	2727	2522	30572
03162017-E08_S248	03162017	E08	S248	107206	49224	28283	20941	90	2762	0	25431	6865	49	659	0	6157
04072017-F09_S549	04072017	F09	S549	1586463	842489	639799	202690	513	15779	11874	611633	69658	341	1632	676	67009
03312017-E07_S1015	03312017	E07	S1015	1056189	644036	510203	133833	2559	2176	44	505424	45815	467	478	41	44829
04132017-B01_S877	04132017	B01	S877	668646	421214	348580	72634	2470	20164	31219	294727	41831	274	2541	2346	36670
04052017-G08_S368	04052017	G08	S368	604415	357888	286462	71426	212	8885	0	277365	48273	130	1682	0	46461
04132017-F08_S932	04132017	F08	S932	568119	363793	297643	66150	406	33856	47491	215890	27982	165	2920	2616	22281
04052017-H12_S384	04052017	H12	S384	296133	158531	94592	63939	3568	33680	0	57344	10679	154	1506	0	9019
04132017-D09_S909	04132017	D09	S909	736111	460579	367528	93051	2835	28706	43145	292842	34617	223	2481	2466	29447
03162017-C01_S217	03162017	C01	S217	558628	381834	262535	119299	6757	52918	2	202858	17355	246	2408	2	14699
03312017-G01_S1033	03312017	G01	S1033	1494381	841628	661972	179656	5261	2576	69	654066	63853	647	521	68	62617
03172017-C11_S419	03172017	C11	S419	242860	156217	130434	25783	333	84657	24	45420	9424	82	3856	24	5462
03312017-C01_S985	03312017	C01	S985	231029	121837	85081	36756	3498	3080	72	78431	9467	348	270	68	8781
04202017-B03_S1071	04202017	B03	S1071	119033	70226	57592	12634	103	6174	949	50366	17685	56	1676	235	15718
03302017-F09_S837	03302017	F09	S837	425934	288922	208649	80273	1467	7159	31	199992	16695	209	556	31	15899
04202017-C05_S1085	04202017	C05	S1085	292771	204614	158191	46423	1787	18154	3277	134973	19925	173	1789	255	17708
03312017-G02_S1034	03312017	G02	S1034	1368650	701553	534143	167410	2414	1966	59	529704	71300	654	612	55	69979
03312017-B02_S974	03312017	B02	S974	843221	506848	410186	96662	2717	2958	72	404439	35905	420	437	69	34979
04202017-H07_S1147	04202017	H07	S1147	194779	103857	77363	26494	163	15857	2595	58748	9894	60	1778	218	7838
04142017-H01_S757	04142017	H01	S757	700715	446275	341958	104317	5891	5271	78714	252082	26106	498	534	2554	22520
03302017-C12_S804	03302017	C12	S804	616295	408873	327870	81003	909	3785	112	323064	40614	293	695	106	39520
03302017-F10_S838	03302017	F10	S838	665012	443775	345116	98659	1404	5971	86	337655	31768	338	668	86	30676
04132017-C10_S898	04132017	C10	S898	496487	314473	259936	54537	200	32933	41267	185536	25964	107	3045	2423	20389
04142017-B09_S693	04142017	B09	S693	381774	248687	201846	46841	3527	3450	56125	138744	17852	396	391	2385	14680
04052017-C03_S315	04052017	C03	S315	618974	367339	293065	74274	297	7397	0	285371	54825	151	1564	0	53110
03232017-A12_S588	03232017	A12	S588	551064	305800	245573	60227	1153	4511	32	239877	52422	419	1163	32	50808
04202017-H04_S1144	04202017	H04	S1144	147175	95724	81110	14614	127	30696	3854	46433	7897	39	2046	229	5583
04132017-D04_S904	04132017	D04	S904	256643	159787	135113	24674	2433	42700	50609	39371	10321	115	2848	2554	4804
03172017-E07_S439	03172017	E07	S439	930875	626877	496675	130202	393	49122	62	447098	48783	237	4346	60	44140
03172017-A02_S386	03172017	A02	S386	1379704	892253	694277	197976	591	55398	65	638223	57691	345	4005	63	53278
03172017-B02_S398	03172017	B02	S398	1320230	869244	696555	172689	575	72632	106	623242	52746	322	4514	100	47810
03172017-F04_S448	03172017	F04	S448	927799	622191	471724	150467	498	92331	137	378758	30688	217	4114	125	26232
03312017-B07_S979	03312017	B07	S979	324713	148333	100330	48003	4225	2614	77	93414	12996	401	321	70	12204
03172017-E06_S438	03172017	E06	S438	1094025	738863	586147	152716	703	46940	78	538426	54684	282	3998	74	50330
04072017-F11_S551	04072017	F11	S551	1168760	583575	444966	138609	361	21723	13943	408939	41894	257	1610	692	39335
04072017-B10_S502	04072017	B10	S502	1112448	596675	452434	144241	500	39990	16382	395562	39332	262	2530	644	35896
04142017-G07_S751	04142017	G07	S751	993364	667698	547799	119899	2218	2840	45813	496928	59243	539	537	2397	55770
03302017-B02_S782	03302017	B02	S782	406108	268674	220888	47786	2167	4346	60	214315	25590	273	620	57	24640
03312017-D08_S1004	03312017	D08	S1004	1475788	815762	649075	166687	3076	3432	80	642487	59081	497	539	75	57970
03162017-C08_S224	03162017	C08	S224	653059	457363	333685	123678	620	68968	0	264097	20205	173	2576	0	17456
03302017-A11_S779	03302017	A11	S779	982040	651639	534193	117446	2121	6423	135	525514	42168	455	778	132	40803
03302017-B08_S788	03302017	B08	S788	444395	295435	242266	53169	588	3121	42	238515	35844	219	584	39	35002
03312017-F04_S1024	03312017	F04	S1024	1391708	789161	620411	168750	3061	2589	75	614686	63776	616	561	68	62531
03312017-C09_S993	03312017	C09	S993	1021302	634737	516304	118433	3955	2398	64	509887	51964	520	521	62	50861
03312017-F03_S1023	03312017	F03	S1023	1354881	814877	662271	152606	2399	2503	62	657307	65821	590	605	58	64568
04072017-H09_S573	04072017	H09	S573	1183429	595168	433760	161408	460	18819	13363	401118	43700	303	1549	677	41171
03172017-F07_S451	03172017	F07	S451	1008968	680405	505858	174547	509	37108	56	468185	47889	245	3341	52	44251
03302017-C06_S798	03302017	C06	S798	433363	298585	227674	70911	1571	12672	69	213362	17253	213	855	68	16117
03162017-D11_S239	03162017	D11	S239	627204	453181	356397	96784	383	28674	0	327340	33657	178	2494	0	30985
03172017-A12_S396	03172017	A12	S396	877429	578093	451488	126605	349	49499	73	401567	43588	190	3938	70	39390
03172017-D04_S424	03172017	D04	S424	579007	369672	289112	80560	458	126269	101	162284	19023	132	4588	98	14205
03162017-B09_S213	03162017	B09	S213	810767	578504	447186	131318	3680	22698	0	420808	43231	326	2307	0	40598
03232017-H09_S669	03232017	H09	S669	838985	477576	363248	114328	2792	7306	47	353103	60335	498	1246	45	58546
04142017-D03_S711	04142017	D03	S711	515371	351722	292962	58760	844	1048	17475	273595	60529	341	442	1969	57777
04072017-H01_S565	04072017	H01	S565	1626610	870218	647262	222956	478	12640	10272	623872	78637	335	1577	710	76015
03312017-A07_S967	03312017	A07	S967	800997	467096	379222	87874	3673	2461	73	373015	40110	483	471	70	39086
04072017-A09_S489	04072017	A09	S489	1591909	865043	659321	205722	736	12599	11515	634471	75921	410	1731	692	73088
03172017-H07_S475	03172017	H07	S475	1176300	769594	584689	184905	643	34423	129	549494	61811	322	3480	118	57891
03172017-F02_S446	03172017	F02	S446	1458725	934263	747924	186339	449	39610	115	707750	73141	293	3867	109	68872
03232017-A01_S577	03232017	A01	S577	558887	315587	254643	60944	974	4836	36	248797	49435	377	1130	35	47893
03302017-E03_S819	03302017	E03	S819	1129755	723671	543821	179850	1894	8301	68	533558	44688	395	833	61	43399
04202017-G02_S1130	04202017	G02	S1130	472634	321349	254118	67231	226	9461	1625	242806	48707	171	1956	253	46327
03232017-A05_S581	03232017	A05	S581	609074	334797	269388	65409	2002	5455	44	261887	54559	459	1154	42	52904
03162017-G08_S272	03162017	G08	S272	95711	44612	23879	20733	52	1891	0	21936	5805	33	403	0	5369
03162017-B11_S215	03162017	B11	S215	1552829	1107180	875926	231254	839	45476	2	829609	80174	459	4257	1	75457
04052017-B10_S310	04052017	B10	S310	606687	390139	323409	66730	180	12369	0	310860	42849	122	1799	0	40928
04052017-B07_S307	04052017	B07	S307	46032	26308	20974	5334	96	17597	0	3281	3171	28	1608	0	1535
04142017-H09_S765	04142017	H09	S765	781139	493879	385506	108373	5640	4185	66998	308683	29797	539	526	2439	26293
04202017-H08_S1148	04202017	H08	S1148	226657	151840	115283	36557	755	20434	3062	91032	13451	117	1977	236	11121
04052017-C02_S314	04052017	C02	S314	113633	69288	54501	14787	152	47664	0	6685	4365	48	2000	0	2317
04052017-A12_S300	04052017	A12	S300	507422	317795	244387	73408	1896	9851	0	232640	35926	210	1468	0	34248
03232017-G02_S650	03232017	G02	S650	848502	458454	352309	106145	1164	6324	86	344735	64959	425	1301	76	63157
03302017-B03_S783	03302017	B03	S783	198673	109605	89469	20136	1274	966	56	87173	30415	289	383	54	29689
03232017-C11_S611	03232017	C11	S611	973415	559483	443887	115596	1422	6843	68	435554	71500	474	1304	63	69659
03172017-G05_S461	03172017	G05	S461	100719	60804	52787	8017	57	40698	16	12016	6234	43	3419	16	2756
04052017-F12_S360	04052017	F12	S360	184899	109991	75761	34230	99	30103	0	45559	11506	61	1786	0	9659
04052017-F02_S350	04052017	F02	S350	713320	439271	340966	98305	192	13041	0	327733	46518	139	1822	0	44557
03162017-A11_S203	03162017	A11	S203	187478	131624	114367	17257	205	58301	1	55860	9937	64	2795	1	7077
03172017-F05_S449	03172017	F05	S449	1261202	825752	656799	168953	494	35642	73	620590	68563	310	3734	66	64453
04142017-B02_S686	04142017	B02	S686	120806	74194	65466	8728	2722	3258	46530	12956	6128	291	321	2270	3246
04132017-E02_S914	04132017	E02	S914	515604	343228	286432	56796	206	54604	53394	178228	23589	118	4037	2601	16833
04052017-B11_S311	04052017	B11	S311	430344	265343	207001	58342	198	5795	0	201008	43701	108	1426	0	42167
03162017-E06_S246	03162017	E06	S246	499719	335435	255700	79735	715	105321	0	149664	16328	187	4701	0	11440
03172017-E02_S434	03172017	E02	S434	932586	615061	485351	129710	642	52430	62	432217	40365	248	3656	57	36404
04052017-G10_S370	04052017	G10	S370	491690	314835	255071	59764	272	10171	0	244628	34393	147	1400	0	32846
03302017-A06_S774	03302017	A06	S774	540753	362217	300868	61349	1212	4964	41	294651	29574	265	629	40	28640
04142017-H08_S764	04142017	H08	S764	517841	328442	260505	67937	6375	4687	72023	177420	20200	450	438	2588	16724
03232017-F12_S648	03232017	F12	S648	806100	441949	349333	92616	2809	6555	51	339918	55462	489	1147	46	53780
03312017-H09_S1053	03312017	H09	S1053	471190	221169	149581	71588	4363	2368	93	142757	18390	452	366	88	17484
03232017-G05_S653	03232017	G05	S653	235704	118026	87809	30217	2323	7534	50	77902	15481	321	1024	38	14098
04142017-E11_S731	04142017	E11	S731	118607	84660	79544	5116	2543	3766	57608	15627	5678	312	282	2465	2619
04072017-B06_S498	04072017	B06	S498	1403989	745860	581077	164783	479	16578	11795	552225	56616	291	1576	641	54108
03172017-A01_S385	03172017	A01	S385	898679	611384	457926	153458	692	82215	39	374980	40032	253	4726	38	35015
04142017-C08_S704	04142017	C08	S704	285512	196498	162191	34307	2646	3448	56604	99493	13436	334	371	2370	10361
03312017-C03_S987	03312017	C03	S987	1295456	764635	618444	146191	2536	2420	64	613424	59174	522	525	58	58069
03162017-A02_S194	03162017	A02	S194	1002890	704727	551721	153006	495	60579	0	490647	47064	263	4475	0	42326
04052017-E02_S338	04052017	E02	S338	683104	402161	324809	77352	239	9457	0	315113	52277	149	1664	0	50464
03302017-B10_S790	03302017	B10	S790	283588	202220	155214	47006	936	4230	27	150021	17019	197	517	26	16279
03172017-F08_S452	03172017	F08	S452	809830	550604	434183	116421	402	51325	79	382377	35395	170	3562	75	31588
03302017-D06_S810	03302017	D06	S810	725989	495109	397749	97360	5456	5279	41	386973	40224	492	736	38	38958
04132017-D07_S907	04132017	D07	S907	620685	394422	326321	68101	2433	29479	42274	252135	29376	210	2405	2420	24341
03302017-E07_S823	03302017	E07	S823	377003	244590	177504	67086	7023	10211	36	160234	14167	385	650	36	13096
04142017-F04_S736	04142017	F04	S736	426157	278329	228007	50322	6092	4585	72477	144853	17672	448	371	2508	14345
03172017-F01_S445	03172017	F01	S445	1229267	819017	644659	174358	483	51947	91	592138	56067	298	4080	89	51600
04052017-D01_S325	04052017	D01	S325	554965	354473	283506	70967	1765	10375	0	271366	38925	195	1478	0	37252
04142017-B05_S689	04142017	B05	S689	152041	100427	90764	9663	3889	4559	62704	19612	7245	319	338	2500	4088
04072017-C12_S516	04072017	C12	S516	970017	483860	396682	87178	343	21018	14227	361094	35613	216	1458	668	33271
03162017-G05_S269	03162017	G05	S269	300700	182912	138392	44520	136	8863	1	129392	28350	70	1766	1	26513
03162017-H04_S280	03162017	H04	S280	554217	353815	254996	98819	443	44680	0	209873	18754	162	2337	0	16255
04142017-H03_S759	04142017	H03	S759	490676	313933	257923	56010	6139	9351	80116	162317	18089	415	967	2474	14233
04142017-D10_S718	04142017	D10	S718	151112	77249	63487	13762	543	445	5324	57175	26070	229	268	1440	24133
04202017-C06_S1086	04202017	C06	S1086	414510	284295	236284	48011	291	26437	3660	205896	24315	116	2212	259	21728
03162017-A01_S193	03162017	A01	S193	405060	292324	220075	72249	382	41896	1	177796	15806	107	2405	1	13293
03232017-D12_S624	03232017	D12	S624	397758	219861	170372	49489	1225	9268	29	159850	28194	266	1319	27	26582
04072017-G11_S563	04072017	G11	S563	1238343	615126	460955	154171	608	20113	14059	426175	49615	321	1811	768	46715
04052017-G07_S367	04052017	G07	S367	593060	372835	293954	78881	252	16473	1	277228	33825	153	1828	1	31843
