experiment 	well	cell_number	concentration	tra1.60	individual.1	individual.2	individual.3	individual.4	fly	worm	ERCC	index
03172017	G08	1	1.023093532	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G09	1	1.67405786	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G10	1	0.981063876	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G11	1	0.734300663	1	18502	18505	18522	19098	50000	50	NA	1
03172017	G12	1	2.134129101	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H01	1	1.486205422	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H02	1	2.008209062	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H03	1	1.160522001	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H04	1	0.550467478	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H05	1	3.088337082	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H06	1	4.061108413	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H07	1	3.752312861	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H08	1	2.362580412	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H09	2	2.232689264	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H10	1	3.403538477	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H11	1	3.419269006	1	18502	18505	18522	19098	50000	50	NA	1
03172017	H12	1	4.540421133	1	18502	18505	18522	19098	50000	50	NA	1
03232017	A01	1	1.337326295	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A02	1	1.356118778	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A03	1	1.534124459	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A04	1	1.446438877	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A05	1	1.218926043	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A06	1	1.349347546	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A07	1	1.406709313	1	18520	18502	18505	18522	5000	25000	NA	3
03232017	A08	1	1.409642337	0	18520	18502	18505	18522	5000	25000	NA	3
